2026-07-26 12:32:19 | PBS changed: True | Fakemon: 63 | Forms: 10 | Refreshed sprites: 0 | Current sprites: 181
2026-07-26 12:42:11 | PBS changed: False | Fakemon: 63 | Forms: 10 | Refreshed sprites: 0 | Current sprites: 181
2026-07-26 12:57:17 | PBS changed: True | Fakemon: 64 | Forms: 11 | Refreshed sprites: 0 | Current sprites: 181
2026-07-26 13:02:34 | PBS changed: False | Fakemon: 64 | Forms: 11 | Refreshed sprites: 0 | Current sprites: 181
2026-07-26 13:15:33 | PBS changed: True | Fakemon: 64 | Forms: 11 | Refreshed sprites: 0 | Current sprites: 181
2026-07-26 13:46:24 | PBS changed: False | Main Dex: 63 | Regional Forms: 11 | Refreshed sprites: 1 | Current sprites: 181
2026-07-26 13:48:58 | PBS changed: True | Main Dex: 64 | Regional Forms: 11 | Refreshed sprites: 0 | Current sprites: 182
2026-07-26 14:03:58 | PBS changed: True | Main Dex: 64 | Regional Forms: 13 | Refreshed sprites: 0 | Current sprites: 190
2026-07-26 14:11:06 | PBS changed: False | Main Dex: 64 | Regional Forms: 13 | Refreshed sprites: 0 | Current sprites: 190
2026-07-26 14:21:16 | PBS changed: False | Main Dex: 64 | Regional Forms: 13 | Refreshed sprites: 0 | Current sprites: 190
2026-07-27 09:26:38 | PBS changed: False | Main Dex: 64 | Regional Forms: 13 | Refreshed sprites: 4 | Current sprites: 189
2026-07-28 10:25:00 | PBS changed: True | Main Dex: 64 | Regional Forms: 16 | Refreshed sprites: 9 | Current sprites: 193
2026-07-29 08:58:31 | PBS changed: True | Main Dex: 64 | Regional Forms: 17 | Refreshed sprites: 7 | Current sprites: 199
2026-07-29 16:38:48 | PBS changed: False | Main Dex: 64 | Regional Forms: 17 | Refreshed sprites: 7 | Current sprites: 204
2026-07-30 00:02:48 | PBS changed: True | Main Dex: 64 | Regional Forms: 17 | Refreshed sprites: 3 | Current sprites: 208
2026-07-30 15:21:54 | PBS changed: True | Main Dex: 64 | Regional Forms: 17 | Refreshed sprites: 0 | Current sprites: 208
2026-07-31 11:30:39 | PBS changed: False | Main Dex: 64 | Regional Forms: 17 | Refreshed sprites: 6 | Current sprites: 207
2026-08-04 07:07:40 | PBS changed: True | Main Dex: 64 | Regional Forms: 0 | Refreshed sprites: 23 | Current sprites: 148
2026-08-04 07:18:41 | PBS changed: False | Main Dex: 64 | Regional Forms: 0 | Refreshed sprites: 0 | Current sprites: 171
2026-08-04 07:31:27 | PBS changed: False | Main Dex: 64 | Regional Forms: 0 | Refreshed sprites: 0 | Current sprites: 171
